variables,full_names
id,Unique Identifier
use,Experimental Sample
use2,Non-Experimental Sample
treatment,Condition
teacherid,Teacher ID
r_startdate,R - Start Time
r_enddate,R - End Time
r_finished,R - Finished
r_female,R - Female
r_female_text,R - Gender - other
r_coursesize,R - Anticipated Course Size
r_exclude,R - Exclude from Project
r_nudge,R - Email Nudge to pick specific course
t1_startdate,T1 - Start Time
t1_enddate,T1 - End Time
t1_finished,T1 - Finished
t1_prof_gtky_survey,T1 - Professor GTKY Survey
t1_consent,T1 - Consent
t1_courseday,T1 - Course Day
t1_coursetime,T1 - Course Time
t1_q1,Q1: When do you think students learn the most?
t1_q2,"Q2: Of the following, which is the best learning opportunity for students?"
t1_q3,Q3: The best way students and instructors can give each other the benefit of the
t1_q4,Q4: Which of the following is most important for instructors to reveal about the
t1_q5,Q5: Which would be the more important thing to have in common for instructors an
t1_q6,"Q6: Of the following, which characteristic is most important for an instructor?"
t1_q7,"Q7: When real-life intervenes, and a student does not get classwork done, it is "
t1_q8,Q8: Which is more important for an instructor to do to help a student's career:
t1_q9,Q9: The most important thing for students and instructors to realize about their
t1_q10,"Q10: To get to know their students, it is most important for instructors to lear"
t1_q11,"Q11: Of the various goals that students and instructors might share, which of th"
t1_q12,"Q12: When it comes to being successful, which of the following is more important"
t1_q13,Q13: What is the best way instructors can engage students?
t1_q14,Q14: Which of the following is most important to you?
t1_q15,Q15: Which of the following is one area you'd like to improve in your life?
t1_q16,Q16: Which personal characteristic about an instructor [a student] would be most
t1_q17,Q17: Have you significantly struggled in a college class before?
t1_q18,"Q18: When not talking about your courses, what would you most like to talk to [i"
t1_q19,Q19: Which of the following traits do you think best describes you?
t1_q20,Q20: The most important quality in a friend is someone who:
t1_q21,Q21: How much do you worry about climate change?
t1_q22,Q22: Which of the following is more important for instructors to know about a st
t1_q23,Q23: What do you do to de-stress?
t1_q24,Q24: Which of the following habits would you most like to work on this semester?
t1_q25,Q25: Of the following what is the biggest issue our country faces today?
t1_q26,Q26: What else would you most like this [instructor/student] to know about you?
t1_q27,Q27: Which of the following do you find most challenging?
t1_q28,Q28: How nervous do you get when you have give public speaking presentations to 
t1_q29,"Q29: If you were president of COLLEGE, which student priority would you put the "
t1_q30,"Q30: If you were president of COLLEGE, which faculty priority would you put the "
t1_q31,Q31: It is most important for professors to be available to talk to students whe
t1_q32,Q32: Which is the better way for students to connect with faculty outside of the
t1_demosintro,T1 - Demo page
t1_years_teach,T1 - For how many years have you taught?
t1_years_college,T1 - For how many years have you taught at COLLEGE?
t1_continue,"T1 - If you had to take your best guess, how many more years do you think you wi"
t_age,Teacher Age
t1_language,Teacher Primary Language
t1_race_1,T - White/Caucasian
t1_race_1_text,T - White/Caucasian Text
t1_race_2,T - Black or African American
t1_race_2_text,T - Black or African American Text
t1_race_3,T - Hispanic American or Latino/a
t1_race_3_text,T - Hispanic American or Latino/a Text
t1_race_4,T - Asian or Pacific Islander
t1_race_4_text,T - Asian or Pacific Islander Text
t1_race_5,T - American Indian or Alaskan
t1_race_5_text,T - American Indian or Alaskan Text
t1_race_6,T - Middle Eastern
t1_race_6_text,T - Middle Eastern Text
t1_race_7,T - Other Race
t1_race_7_text,T - Other Race Text
t1_recommend,"T1 - If a friend or colleague were looking for teaching job, to what extent, if "
t1_mother_ed,T1 - Mother's highest level of education completed
t1_father_ed,T1 - Father's highest level of education completed
t1_difficulty,"T1 - Relative to the average course at COLLEGE, how difficult do students find t"
t1_final_exam,T1 - Do you give a final exam in this course?
t1_exam_objective,T1 - Which best describes how this exam is graded?
t1_grading_objective,T1 - To what extent do you need to use your professional judgment while grading 
t1_assignment_weights_1,T1 - Percent of Assignments: Exams
t1_assignment_weights_2,T1 - Percent of Assignments: Papers
t1_assignment_weights_3,T1 - Percent of Assignments: Participation
t1_assignment_weights_4,T1 - Percent of Assignments: Other
t1_studentevals,"T1 - If you have taught this course before, how satisfied have you been with the"
t1_participate,T1 - Would you participate for no money?
t1_administration,T1 - Professor Survey Administration Selection (A or B)
t1_end,T1 - Saw last page
t1_complete,T1 - Completed Professor GTKY Survey
t1_timer_consent_3,T1 - Timer: Consent Page
t1_timer_gtky1_3,T1 - Timer: GTKY Page 1
t1_timer_gtky2_3,T1 - Timer: GTKY Page 2
t1_timer_gtky3_3,T1 - Timer: GTKY Page 2
t1_timer_demos1_3,T1 - Timer: DemosPage 1
t1_timer_demos2_3,T1 - Timer: DemosPage 2
merge1,Merge - Recruit + Prof GTKY survey
n,NULL
s1_responseid,S1 - Response ID
s1_startdate,S1 - Start Time
s1_enddate,S1 - End Time
s1_finished,S1 - Finished
s1_heshe,Teacher She/He
s1_hisher,Teacher Her/His
s1_student_gtky_survey,NULL
s1_consent,S1 - Student Consent
s1_timer_consent_3,S1 - Timer Consent
s1_intro2,intro2
s1_taken,S1 - Took with Other Professor
s1_taken_prof,S1 - Other Professor
s1_timer_gtky1_3,S1 - Timer: GTKY Page 1
s1_q1,Q1: When do you think students learn the most?
s1_q2,"Q2: Of the following, which is the best learning opportunity for students?"
s1_q3,Q3: The best way students and instructors can give each other the benefit of the
s1_q4,Q4: Which of the following is most important for instructors to reveal about the
s1_q5,Q5: Which would be the more important thing to have in common for instructors an
s1_q6,"Q6: Of the following, which characteristic is most important for an instructor?"
s1_q7,"Q7: When real-life intervenes, and a student does not get classwork done, it is "
s1_q8,Q8: Which is more important for an instructor to do to help a student's career:
s1_q9,Q9: The most important thing for students and instructors to realize about their
s1_q10,"Q10: To get to know their students, it is most important for instructors to lear"
s1_timer_gtky2_3,S1 - Timer: GTKY Page 2
s1_q11,"Q11: Of the various goals that students and instructors might share, which of th"
s1_q12,"Q12: When it comes to being successful, which of the following is more important"
s1_q13,Q13: What is the best way instructors can engage students?
s1_q14,Q14: Which of the following is most important to you?
s1_q15,Q15: Which of the following is one area you'd like to improve in your life?
s1_q16,Q16: Which personal characteristic about an instructor [a student] would be most
s1_q17,Q17: Have you significantly struggled in a college class before?
s1_q18,"Q18: When not talking about your courses, what would you most like to talk to [i"
s1_q19,Q19: Which of the following traits do you think best describes you?
s1_timer_gtky3_3,S1 - Timer: GTKY Page 3
s1_q20,Q20: The most important quality in a friend is someone who:
s1_q21,Q21: How much do you worry about climate change?
s1_q22,Q22: Which of the following is more important for instructors to know about a st
s1_q23,Q23: What do you do to de-stress?
s1_q24,Q24: Which of the following habits would you most like to work on this semester?
s1_q25,Q25: Of the following what is the biggest issue our country faces today?
s1_q26,Q26: What else would you most like this [instructor/student] to know about you?
s1_q27,Q27: Which of the following do you find most challenging?
s1_q28,Q28: How nervous do you get when you have give public speaking presentations to 
s1_q29,"Q29: If you were president of COLLEGE, which student priority would you put the "
s1_q31,Q31: It is most important for professors to be available to talk to students whe
s1_q32,Q32: Which is the better way for students to connect with faculty outside of the
s1_timerpre1_3,S1 - Timer: Pre-Int Page 1
s1_tsr1,How much do you think you will enjoy learning from this instructor 
s1_exp1,How often do you think this instructor will make you explain your answers?
s1_tsr2,How friendly do you think this instructor will be towards you?
s1_exp2,"When you feel like giving up on a difficult task, how likely is it that this ins"
s1_tsr3,How encouraging do you think this instructor will be towards you?
s1_timerpre2_3,S1 - Timer: Pre-Int Page 2
s1_tsr4,"If you came back to visit this instructor three years from now, how excited do y"
s1_exp3,How much do you think this instructor will encourage you to do your best?
s1_tsr5,How motivating do you think you will find this instructor's class?
s1_tsr6,How caring do you think this instructor will be towards you?
s1_exp4,How often do you think this instructor will take time to make sure you understan
s1_exp5,"Overall, how high do you think Professor 's expectations are for you?"
s1_tsr7,"Overall, how much do you think you will learn from this instructor?"
s1_timercontrolfeedback_3,S1 - Timer: View Control Responses
s1_sim1_c,S1 - C: Saw Similarity 1
s1_sim2_c,S1 - C: Saw Similarity 2
s1_sim3_c,S1 - C: Saw Similarity 3
s1_sim4_c,S1 - C: Saw Similarity 4
s1_sim5_c,S1 - C: Saw Similarity 5
s1_sim6_c,S1 - C: Saw Similarity 6
s1_sim7_c,S1 - C: Saw Similarity 7
s1_sim8_c,S1 - C: Saw Similarity 8
s1_sim9_c,S1 - C: Saw Similarity 9
s1_sim10_c,S1 - C: Saw Similarity 10
s1_sim11_c,S1 - C: Saw Similarity 11
s1_sim12_c,S1 - C: Saw Similarity 12
s1_sim13_c,S1 - C: Saw Similarity 13
s1_sim14_c,S1 - C: Saw Similarity 14
s1_sim15_c,S1 - C: Saw Similarity 15
s1_sim16_c,S1 - C: Saw Similarity 16
s1_sim17_c,S1 - C: Saw Similarity 17
s1_sim18_c,S1 - C: Saw Similarity 18
s1_sim19_c,S1 - C: Saw Similarity 19
s1_sim20_c,S1 - C: Saw Similarity 20
s1_sim21_c,S1 - C: Saw Similarity 21
s1_sim22_c,S1 - C: Saw Similarity 22
s1_sim23_c,S1 - C: Saw Similarity 23
s1_sim24_c,S1 - C: Saw Similarity 24
s1_sim25_c,S1 - C: Saw Similarity 25
s1_sim26_c,S1 - C: Saw Similarity 26
s1_sim27_c,S1 - C: Saw Similarity 27
s1_sim28_c,S1 - C: Saw Similarity 28
s1_sim29_c,S1 - C: Saw Similarity 29
s1_sim31_c,S1 - C: Saw Similarity 31
s1_sim32_c,S1 - C: Saw Similarity 32
s1_timercontrolresponse_3,S1 - Timer: C - Intervention Feedback
s1_timertreatmentfeedba_3,S1 - Timer: View Treatment Responses
s1_sim1_t,S1 - T: Saw Similarity 1
s1_sim2_t,S1 - T: Saw Similarity 2
s1_sim3_t,S1 - T: Saw Similarity 3
s1_sim4_t,S1 - T: Saw Similarity 4
s1_sim5_t,S1 - T: Saw Similarity 5
s1_sim6_t,S1 - T: Saw Similarity 6
s1_sim7_t,S1 - T: Saw Similarity 7
s1_sim8_t,S1 - T: Saw Similarity 8
s1_sim9_t,S1 - T: Saw Similarity 9
s1_sim10_t,S1 - T: Saw Similarity 10
s1_sim11_t,S1 - T: Saw Similarity 11
s1_sim12_t,S1 - T: Saw Similarity 12
s1_sim13_t,S1 - T: Saw Similarity 13
s1_sim14_t,S1 - T: Saw Similarity 14
s1_sim15_t,S1 - T: Saw Similarity 15
s1_sim16_t,S1 - T: Saw Similarity 16
s1_sim17_t,S1 - T: Saw Similarity 17
s1_sim18_t,S1 - T: Saw Similarity 18
s1_sim19_t,S1 - T: Saw Similarity 19
s1_sim20_t,S1 - T: Saw Similarity 20
s1_sim21_t,S1 - T: Saw Similarity 21
s1_sim22_t,S1 - T: Saw Similarity 22
s1_sim23_t,S1 - T: Saw Similarity 23
s1_sim24_t,S1 - T: Saw Similarity 24
s1_sim25_t,S1 - T: Saw Similarity 25
s1_sim26_t,S1 - T: Saw Similarity 26
s1_sim27_t,S1 - T: Saw Similarity 27
s1_sim28_t,S1 - T: Saw Similarity 28
s1_sim29_t,S1 - T: Saw Similarity 29
s1_sim31_t,S1 - T: Saw Similarity 31
s1_sim32_t,S1 - T: Saw Similarity 32
s1_timertreatmentrespon_3,S1 - Timer: T - Intervention Feedback
s1_treatment1,S1 - T1: Which of these things that you have in common are you most likely to ta
s1_treatment2,S1 - T2: Of these commonalities please choose the one that you think is the most
s1_timerpost1_3,S1 - Timer: Post-Intervention 1
s1_enj1,How excited are you about this class?
s1_sim1,"Overall, how similar to your instructor's values do you think your values are?"
s1_enj2,How enjoyable do you think it will be to participate in this class?
s1_sim2,How similar are your goals for the course and your instructor's goals?
s1_enj3,How much fun do you think the assignments for this class will be?
s1_timerpost2_3,S1 - Timer: Post-Intervention 2
s1_sim3,"In general, how similar do you think your views about the course content and you"
s1_sim4,How much do you think you have in common with your instructor?
s1_enj4,How eager are you to learn the course material?
